xs ys xt yt xl yl xa ya
0.000001 0.000000 0.755462 0.661663 0.754834 0.664699 39.451294 0.095919
0.000001 0.000000 0.751348 0.666439 0.750526 0.669438 39.788586 0.095918
0.000001 0.000000 0.747204 0.671189 0.746191 0.674139 40.125877 0.095917
0.000001 0.000000 0.743031 0.675912 0.741832 0.678803 40.463169 0.095916
0.000001 0.000000 0.738829 0.680610 0.737448 0.683429 40.800461 0.095916
0.000001 0.000000 0.734598 0.685281 0.733041 0.688017 41.137753 0.095915
0.000001 0.000000 0.730339 0.689926 0.728611 0.692569 41.475044 0.095914
0.000001 0.000000 0.726051 0.694545 0.724159 0.697083 41.812336 0.095914
0.000001 0.000000 0.721734 0.699136 0.719686 0.701561 42.149628 0.095913
0.000001 0.000000 0.717390 0.703700 0.715192 0.706003 42.486919 0.095912
0.000001 0.000000 0.713017 0.708238 0.710679 0.710409 42.824211 0.095911
0.000001 0.000000 0.708617 0.712747 0.706147 0.714779 43.161503 0.095911
0.000001 0.000000 0.704189 0.717230 0.701596 0.719114 43.498795 0.095910
0.000001 0.000000 0.699734 0.721684 0.697027 0.723415 43.836086 0.095909
0.000001 0.000000 0.695251 0.726111 0.692440 0.727681 44.173378 0.095909
0.000001 0.000000 0.690741 0.730509 0.687836 0.731912 44.510670 0.095908
0.000001 0.000000 0.686205 0.734880 0.683216 0.736111 44.847961 0.095907
0.000001 0.000000 0.681641 0.739221 0.678580 0.740276 45.185253 0.095906
0.000001 0.000000 0.677051 0.743535 0.673927 0.744409 45.522545 0.095906
0.000001 0.000000 0.672434 0.747819 0.669260 0.748510 45.859837 0.095905
0.000001 0.000000 0.667791 0.752075 0.664577 0.752579 46.197128 0.095904
0.000001 0.000000 0.663123 0.756301 0.659879 0.756617 46.534420 0.095904
0.000001 0.000000 0.658428 0.760499 0.655167 0.760624 46.871712 0.095903
0.000001 0.000000 0.653708 0.764666 0.650440 0.764602 47.209003 0.095902
0.000001 0.000000 0.648962 0.768805 0.645699 0.768549 47.546295 0.095901
0.000001 0.000000 0.644191 0.772913 0.640944 0.772468 47.883587 0.095901
0.000001 0.000000 0.639394 0.776992 0.636174 0.776357 48.220879 0.095900
0.000001 0.000000 0.634573 0.781040 0.631391 0.780219 48.558170 0.095899
0.000001 0.000000 0.629728 0.785059 0.626594 0.784052 48.895462 0.095899
0.000001 0.000000 0.624857 0.789047 0.621782 0.787859 49.232754 0.095898
0.000001 0.000000 0.619963 0.793004 0.616957 0.791638 49.570045 0.095897
0.000001 0.000000 0.615044 0.796931 0.612117 0.795392 49.907337 0.095896
0.000001 0.000000 0.610101 0.800827 0.607263 0.799119 50.244629 0.095896
0.000001 0.000000 0.605135 0.804691 0.602395 0.802820 50.581921 0.095895
0.000001 0.000000 0.600145 0.808525 0.597512 0.806496 50.919212 0.095894
0.000001 0.000000 0.595132 0.812328 0.592615 0.810147 51.256504 0.095894
0.000001 0.000000 0.590095 0.816099 0.587702 0.813774 51.593796 0.095893
0.000001 0.000000 0.585036 0.819838 0.582774 0.817376 51.931087 0.095892
0.000001 0.000000 0.579954 0.823546 0.577831 0.820954 52.268379 0.095891
0.000001 0.000000 0.574850 0.827222 0.572872 0.824508 52.605671 0.095891
0.000001 0.000000 0.569723 0.830866 0.567897 0.828039 52.942963 0.095890
0.000001 0.000000 0.564574 0.834478 0.562905 0.831546 53.280254 0.095889
0.000001 0.000000 0.559403 0.838058 0.557897 0.835030 53.617546 0.095888
0.000001 0.000000 0.554211 0.841605 0.552871 0.838490 53.954838 0.095888
0.000001 0.000000 0.548997 0.845120 0.547829 0.841927 54.292130 0.095887
0.000001 0.000000 0.543762 0.848602 0.542768 0.845342 54.629421 0.095886
0.000001 0.000000 0.538507 0.852051 0.537690 0.848733 54.966713 0.095886
0.000001 0.000000 0.533230 0.855468 0.532593 0.852100 55.304005 0.095885
0.000001 0.000001 0.527932 0.858851 0.527477 0.855445 55.641296 0.095884
0.000001 0.000001 0.522615 0.862201 0.522342 0.858767 55.978588 0.095883
0.000001 0.000001 0.517277 0.865518 0.517188 0.862065 56.315880 0.095883
0.000001 0.000001 0.511919 0.868802 0.512014 0.865339 56.653172 0.095882
0.000002 0.000001 0.506542 0.872052 0.506820 0.868590 56.990463 0.095881
0.000002 0.000001 0.501145 0.875268 0.501606 0.871817 57.327755 0.095881
0.000002 0.000001 0.495729 0.878451 0.496370 0.875020 57.665047 0.095880
0.000002 0.000001 0.490293 0.881600 0.491114 0.878199 58.002338 0.095879
0.000002 0.000001 0.484839 0.884715 0.485837 0.881353 58.339630 0.095878
0.000002 0.000001 0.479366 0.887796 0.480538 0.884482 58.676922 0.095878
0.000002 0.000001 0.473875 0.890843 0.475218 0.887587 59.014214 0.095877
0.000002 0.000001 0.468366 0.893855 0.469875 0.890665 59.351505 0.095876
0.000002 0.000001 0.462839 0.896833 0.464511 0.893719 59.688797 0.095876
0.000002 0.000001 0.457294 0.899777 0.459123 0.896746 60.026089 0.095875
0.000002 0.000001 0.451731 0.902686 0.453714 0.899746 60.363380 0.095874
0.000002 0.000001 0.446151 0.905560 0.448282 0.902720 60.700672 0.095873
0.000002 0.000001 0.440554 0.908400 0.442826 0.905667 61.037964 0.095873
0.000002 0.000001 0.434941 0.911204 0.437348 0.908586 61.375256 0.095872
0.000002 0.000001 0.429310 0.913974 0.431847 0.911477 61.712547 0.095871
0.000002 0.000001 0.423664 0.916709 0.426322 0.914339 62.049839 0.095871
0.000002 0.000001 0.418001 0.919408 0.420775 0.917173 62.387131 0.095870
0.000002 0.000001 0.412322 0.922072 0.415203 0.919978 62.724422 0.095869
0.000002 0.000001 0.406627 0.924701 0.409609 0.922753 63.061714 0.095868
0.000002 0.000001 0.400917 0.927295 0.403990 0.925498 63.399006 0.095868
0.000002 0.000001 0.395192 0.929853 0.398349 0.928212 63.736298 0.095867
0.000002 0.000001 0.389452 0.932375 0.392683 0.930895 64.073593 0.095866
0.000002 0.000001 0.383696 0.934862 0.386995 0.933546 64.410889 0.095866
0.000002 0.000001 0.377927 0.937313 0.381282 0.936165 64.748184 0.095865
0.000002 0.000001 0.372143 0.939729 0.375546 0.938752 65.085480 0.095864
0.000002 0.000001 0.366344 0.942108 0.369787 0.941306 65.422775 0.095863
0.000002 0.000001 0.360532 0.944451 0.364005 0.943826 65.760071 0.095863
0.000002 0.000001 0.354706 0.946759 0.358199 0.946312 66.097366 0.095862
0.000002 0.000001 0.348867 0.949030 0.352370 0.948763 66.434662 0.095861
0.000002 0.000001 0.343015 0.951265 0.346518 0.951178 66.771957 0.095861
0.000002 0.000001 0.337149 0.953464 0.340644 0.953558 67.109253 0.095860
0.000002 0.000001 0.331271 0.955626 0.334746 0.955902 67.446548 0.095859
0.000002 0.000001 0.325380 0.957752 0.328826 0.958209 67.783844 0.095858
0.000002 0.000001 0.319477 0.959842 0.322884 0.960478 68.121140 0.095858
0.000002 0.000001 0.313562 0.961895 0.316920 0.962709 68.458435 0.095857
0.000002 0.000001 0.307635 0.963911 0.310935 0.964901 68.795731 0.095856
0.000002 0.000001 0.301696 0.965891 0.304928 0.967055 69.133026 0.095856
0.000002 0.000001 0.295746 0.967834 0.298900 0.969168 69.470322 0.095855
0.000002 0.000001 0.289785 0.969741 0.292851 0.971241 69.807617 0.095854
0.000002 0.000001 0.283812 0.971611 0.286782 0.973272 70.144913 0.095853
0.000002 0.000001 0.277829 0.973443 0.280693 0.975262 70.482208 0.095853
0.000002 0.000001 0.271836 0.975239 0.274585 0.977210 70.819504 0.095852
0.000002 0.000001 0.265832 0.976998 0.268458 0.979116 71.156799 0.095851
0.000002 0.000001 0.259819 0.978720 0.262313 0.980977 71.494095 0.095851
0.000002 0.000001 0.253795 0.980405 0.256150 0.982795 71.831390 0.095850
0.000002 0.000001 0.247762 0.982052 0.249970 0.984569 72.168686 0.095849
0.000002 0.000001 0.241720 0.983663 0.243773 0.986298 72.505981 0.095848
0.000002 0.000001 0.235668 0.985236 0.237561 0.987981 72.843277 0.095848
0.000002 0.000001 0.229608 0.986772 0.231333 0.989618 73.180573 0.095847
0.000002 0.000001 0.223538 0.988271 0.225091 0.991210 73.517868 0.095846
0.000002 0.000001 0.217461 0.989733 0.218836 0.992754 73.855164 0.095846
0.000002 0.000001 0.211375 0.991157 0.212568 0.994252 74.192459 0.095845
0.000002 0.000001 0.205281 0.992543 0.206287 0.995702 74.529755 0.095844
0.000002 0.000001 0.199180 0.993893 0.199996 0.997105 74.867050 0.095843
0.000002 0.000001 0.193071 0.995205 0.193694 0.998460 75.204346 0.095843
0.000002 0.000001 0.186954 0.996479 0.187383 0.999767 75.541641 0.095842
0.000002 0.000001 0.180831 0.997715 0.181064 1.001026 75.878937 0.095841
0.000003 0.000001 0.174700 0.998915 0.174736 1.002237 76.216232 0.095841
0.000003 0.000001 0.168563 1.000076 0.168402 1.003400 76.553528 0.095840
0.000003 0.000001 0.162420 1.001200 0.162062 1.004514 76.890823 0.095839
0.000003 0.000001 0.156270 1.002286 0.155717 1.005580 77.228119 0.095838
0.000003 0.000001 0.150115 1.003334 0.149368 1.006598 77.565414 0.095838
0.000003 0.000001 0.143953 1.004345 0.143015 1.007568 77.902710 0.095837
0.000003 0.000001 0.137786 1.005318 0.136660 1.008490 78.240005 0.095836
0.000003 0.000001 0.131614 1.006253 0.130303 1.009365 78.577301 0.095836
0.000003 0.000001 0.125437 1.007150 0.123945 1.010192 78.914597 0.095835
0.000003 0.000001 0.119255 1.008010 0.117586 1.010973 79.251892 0.095834
0.000003 0.000001 0.113068 1.008831 0.111229 1.011706 79.589188 0.095833
0.000003 0.000001 0.106878 1.009615 0.104872 1.012393 79.926483 0.095833
0.000003 0.000001 0.100682 1.010361 0.098518 1.013034 80.263779 0.095832
0.000003 0.000001 0.094483 1.011068 0.092166 1.013629 80.601074 0.095831
0.000003 0.000001 0.088281 1.011738 0.085817 1.014179 80.938370 0.095831
0.000003 0.000001 0.082075 1.012370 0.079471 1.014684 81.275665 0.095830
0.000003 0.000002 0.075865 1.012964 0.073130 1.015145 81.612961 0.095829
0.000003 0.000002 0.069653 1.013520 0.066794 1.015561 81.950256 0.095828
0.000003 0.000002 0.063438 1.014037 0.060463 1.015934 82.287552 0.095828
0.000003 0.000002 0.057220 1.014517 0.054137 1.016263 82.624847 0.095827
0.000003 0.000002 0.051000 1.014959 0.047818 1.016550 82.962143 0.095826
0.000003 0.000002 0.044779 1.015362 0.041505 1.016795 83.299438 0.095826
0.000003 0.000002 0.038555 1.015728 0.035200 1.016998 83.636734 0.095825
0.000003 0.000002 0.032329 1.016055 0.028901 1.017159 83.974030 0.095824
0.000003 0.000002 0.026103 1.016344 0.022610 1.017280 84.311325 0.095823
0.000003 0.000002 0.019875 1.016595 0.016326 1.017359 84.648621 0.095823
0.000003 0.000002 0.013646 1.016809 0.010051 1.017399 84.985916 0.095822
0.000003 0.000002 0.007417 1.016984 0.003785 1.017400 85.323212 0.095821
0.000003 0.000002 0.001187 1.017121 -0.002473 1.017361 85.660507 0.095821
0.000003 0.000002 -0.005043 1.017219 -0.008723 1.017283 85.997803 0.095820
0.000003 0.000002 -0.011273 1.017280 -0.014963 1.017167 86.335098 0.095819
0.000003 0.000002 -0.017503 1.017303 -0.021194 1.017014 86.672394 0.095818
0.000003 0.000002 -0.023732 1.017287 -0.027416 1.016822 87.009689 0.095818
0.000003 0.000002 -0.029960 1.017234 -0.033628 1.016594 87.346985 0.095817
0.000003 0.000002 -0.036188 1.017142 -0.039830 1.016329 87.684280 0.095816
0.000003 0.000002 -0.042414 1.017012 -0.046023 1.016028 88.021576 0.095816
0.000003 0.000002 -0.048639 1.016845 -0.052206 1.015691 88.358871 0.095815
0.000003 0.000002 -0.054862 1.016639 -0.058379 1.015318 88.696167 0.095814
0.000003 0.000002 -0.061083 1.016395 -0.064542 1.014910 89.033463 0.095813
0.000003 0.000002 -0.067302 1.016114 -0.070694 1.014467 89.370758 0.095813
0.000003 0.000002 -0.073519 1.015794 -0.076837 1.013990 89.708054 0.095812
0.000003 0.000002 -0.079733 1.015436 -0.082969 1.013479 90.045349 0.095811
0.000003 0.000002 -0.085944 1.015041 -0.089092 1.012934 90.382645 0.095811
0.000003 0.000002 -0.092152 1.014607 -0.095204 1.012356 90.719940 0.095810
0.000003 0.000002 -0.098357 1.014136 -0.101306 1.011744 91.057236 0.095809
0.000003 0.000002 -0.104558 1.013626 -0.107397 1.011100 91.394531 0.095808
0.000003 0.000002 -0.110756 1.013079 -0.113479 1.010423 91.731827 0.095808
0.000003 0.000002 -0.116949 1.012494 -0.119550 1.009714 92.069122 0.095807
0.000003 0.000002 -0.123139 1.011872 -0.125612 1.008973 92.406418 0.095806
0.000003 0.000002 -0.129323 1.011211 -0.131663 1.008200 92.743713 0.095806
0.000003 0.000002 -0.135503 1.010513 -0.137704 1.007396 93.081009 0.095805
0.000003 0.000002 -0.141678 1.009777 -0.143736 1.006560 93.418304 0.095804
0.000003 0.000002 -0.147848 1.009004 -0.149758 1.005694 93.755600 0.095803
0.000004 0.000002 -0.154013 1.008193 -0.155770 1.004797 94.092896 0.095803
0.000004 0.000002 -0.160172 1.007344 -0.161772 1.003869 94.430191 0.095802
0.000004 0.000002 -0.166325 1.006458 -0.167765 1.002912 94.767487 0.095801
0.000004 0.000002 -0.172472 1.005535 -0.173749 1.001924 95.104782 0.095801
0.000004 0.000002 -0.178612 1.004573 -0.179723 1.000906 95.442078 0.095800
0.000004 0.000002 -0.184746 1.003575 -0.185688 0.999858 95.779373 0.095799
0.000004 0.000002 -0.190873 1.002539 -0.191645 0.998780 96.116669 0.095798
0.000004 0.000002 -0.196994 1.001466 -0.197592 0.997673 96.453964 0.095798
0.000004 0.000002 -0.203107 1.000356 -0.203531 0.996536 96.791260 0.095797
0.000004 0.000002 -0.209212 0.999209 -0.209462 0.995371 97.128555 0.095796
0.000004 0.000002 -0.215310 0.998024 -0.215384 0.994175 97.465851 0.095796
0.000004 0.000002 -0.221400 0.996802 -0.221297 0.992951 97.803146 0.095795
0.000004 0.000003 -0.227481 0.995544 -0.227203 0.991697 98.140442 0.095794
0.000004 0.000003 -0.233555 0.994248 -0.233100 0.990414 98.477737 0.095793
0.000004 0.000003 -0.239619 0.992916 -0.238990 0.989102 98.815033 0.095793
0.000004 0.000003 -0.245675 0.991546 -0.244872 0.987761 99.152328 0.095792
0.000004 0.000003 -0.251722 0.990140 -0.250747 0.986390 99.489624 0.095791
0.000004 0.000003 -0.257759 0.988697 -0.256614 0.984991 99.826920 0.095791
0.000004 0.000003 -0.263787 0.987218 -0.262474 0.983562 100.164215 0.095790
0.000004 0.000003 -0.269805 0.985702 -0.268327 0.982103 100.501511 0.095789
